timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-12-20,1.94000000,2.21800000,1.94000000,2.15500000,1168998.11600000,1576886399999,2516781.12907100,2989,520401.95100000,1119684.43441000,0
2019-12-21,2.15300000,2.15700000,2.13600000,2.14900000,112274.12100000,1576972799999,240745.96250100,573,75035.19000000,161095.35197800,0
2019-12-22,2.14600000,2.27500000,2.13700000,2.27500000,1324239.89100000,1577059199999,2888429.88333900,8043,1206173.79200000,2630317.76255400,0
2019-12-23,2.27700000,2.30300000,2.17300000,2.19100000,1644144.83300000,1577145599999,3706522.47426400,9997,1362529.10800000,3076333.48565900,0
2019-12-24,2.18700000,2.20100000,2.13800000,2.16100000,136824.26200000,1577231999999,295282.65998700,799,94946.54900000,204143.79524900,0
2019-12-25,2.15900000,2.16500000,2.13800000,2.14100000,40658.75800000,1577318399999,87178.67821700,249,20058.13100000,43062.56219300,0
2019-12-26,2.14000000,2.19400000,2.13900000,2.14100000,89310.28800000,1577404799999,192903.62526900,418,57780.59300000,125118.77714600,0
2019-12-27,2.14100000,2.17200000,2.13900000,2.14900000,182638.67200000,1577491199999,392115.19520700,2788,164279.22200000,352683.87771900,0
2019-12-28,2.15000000,2.18800000,2.15000000,2.18100000,57643.71400000,1577577599999,124794.03714700,392,25925.91900000,56165.46415900,0
2019-12-29,2.17600000,2.24900000,2.16700000,2.21000000,47632.03600000,1577663999999,104915.06642300,363,36971.54800000,81426.12692300,0
2019-12-30,2.20800000,2.21100000,2.15100000,2.16700000,58259.42700000,1577750399999,127394.60898300,419,28241.83000000,61785.29946700,0
2019-12-31,2.15400000,2.18600000,2.14200000,2.14400000,89816.75300000,1577836799999,193828.05125600,660,81248.35000000,175324.78112800,0
2020-01-01,2.14700000,2.16200000,2.14100000,2.14400000,36912.45300000,1577923199999,79400.85067300,342,28152.83200000,60560.17102900,0
2020-01-02,2.14400000,2.15200000,2.14200000,2.14200000,137785.55200000,1578009599999,295884.30201700,799,98107.02200000,210703.23669700,0
2020-01-03,2.14300000,2.23300000,2.14000000,2.20400000,153597.54200000,1578095999999,335306.35525400,1083,106315.15100000,231336.69783100,0
2020-01-04,2.20100000,2.20600000,2.15700000,2.16400000,37466.66600000,1578182399999,81572.45048200,363,18318.27600000,39905.12702700,0
2020-01-05,2.17400000,2.20000000,2.13500000,2.13900000,47776.80200000,1578268799999,102826.68207700,358,18005.80500000,38846.20678800,0
2020-01-06,2.13800000,2.19100000,2.13600000,2.18300000,106516.45600000,1578355199999,229102.80769100,601,90278.58500000,194109.00474900,0
2020-01-07,2.18600000,2.24100000,2.12900000,2.16600000,533551.66200000,1578441599999,1155855.25345700,3677,452784.23300000,981446.73715200,0
2020-01-08,2.16100000,2.20200000,2.13400000,2.17600000,938394.07800000,1578527999999,2015752.14425100,5973,849506.58900000,1824163.61843300,0
2020-01-09,2.17300000,2.17300000,2.13500000,2.16100000,256197.94600000,1578614399999,549839.67044600,1884,233145.75800000,500269.82508700,0
2020-01-10,2.15900000,2.24000000,2.13400000,2.22800000,318059.44000000,1578700799999,694686.24052100,2480,193024.34200000,421734.77146200,0
2020-01-11,2.23400000,2.23400000,2.13500000,2.14700000,251332.15800000,1578787199999,540569.24112500,1950,200146.39900000,430095.50033100,0
2020-01-12,2.14300000,2.19800000,2.13300000,2.18300000,182071.04500000,1578873599999,392479.05725700,1156,151664.22300000,326624.34862900,0
2020-01-13,2.18200000,2.18200000,2.14000000,2.15500000,96535.73900000,1578959999999,208127.90476800,678,75791.48400000,163468.53668400,0
2020-01-14,2.15000000,2.21500000,2.14300000,2.17600000,554663.89400000,1579046399999,1211009.69582700,3454,398461.42100000,870062.67416900,0
2020-01-15,2.17200000,2.36800000,2.15000000,2.36700000,1162491.23300000,1579132799999,2579539.19417500,5579,990416.59700000,2196383.59388900,0
2020-01-16,2.36900000,2.40000000,2.28700000,2.40000000,399721.10400000,1579219199999,940407.94275100,1906,288074.22800000,678897.66857400,0
2020-01-17,2.39600000,2.48100000,2.04000000,2.38600000,496915.66300000,1579305599999,1210130.05970200,2824,287258.70000000,698783.83017600,0
2020-01-18,2.38700000,2.42300000,2.33400000,2.37700000,294660.64500000,1579391999999,702499.01391100,1601,212422.65500000,506545.11281200,0
2020-01-19,2.37100000,2.43400000,2.23500000,2.28400000,393618.58900000,1579478399999,929637.66692000,2348,302258.12600000,714538.20340300,0
2020-01-20,2.28500000,2.29100000,2.20300000,2.26600000,202402.67000000,1579564799999,455607.85291800,1266,171417.79600000,386192.31752800,0
2020-01-21,2.26600000,2.35200000,2.26200000,2.35100000,319955.98800000,1579651199999,739563.26470000,1938,282954.94500000,653944.15305600,0
2020-01-22,2.34900000,2.36200000,2.28700000,2.31500000,238303.24700000,1579737599999,551051.34376700,1491,119806.84700000,276534.28700000,0
2020-01-23,2.32100000,2.32100000,2.18000000,2.23600000,775805.99400000,1579823999999,1718380.39294300,4351,658466.50600000,1457897.14356200,0
2020-01-24,2.23000000,2.28600000,2.19400000,2.25600000,99776.00700000,1579910399999,223238.10080100,608,35595.67900000,79258.38324500,0
2020-01-25,2.25900000,2.25900000,2.20500000,2.22400000,71731.29700000,1579996799999,159492.13289700,512,57594.55900000,128080.63916000,0
