iter	Passed	Remaining
0	6	6599
1	12	6352
2	18	6154
3	23	5959
4	30	6083
5	35	5960
6	41	5855
7	48	5956
8	53	5915
9	59	5851
10	66	5992
11	73	6067
12	81	6182
13	87	6138
14	90	5925
15	96	5951
16	102	5923
17	108	5902
18	114	5911
19	119	5873
20	126	5874
21	131	5856
22	137	5827
23	144	5871
24	152	5958
25	168	6320
26	193	6963
27	212	7371
28	231	7765
29	251	8141
30	271	8471
31	290	8789
32	309	9075
33	329	9361
34	349	9638
35	356	9559
36	368	9579
37	376	9539
38	383	9445
39	391	9391
40	411	9635
41	426	9723
42	435	9689
43	451	9806
44	459	9749
45	466	9667
46	472	9586
47	478	9485
48	484	9396
49	490	9321
50	496	9230
51	501	9144
52	507	9071
53	513	8988
54	519	8933
55	525	8862
56	531	8792
57	538	8743
58	544	8676
59	550	8617
60	556	8561
61	561	8498
62	567	8445
63	574	8399
64	580	8353
65	587	8310
66	592	8254
67	598	8201
68	606	8184
69	619	8229
70	625	8178
71	630	8127
72	637	8093
73	642	8044
74	649	8009
75	654	7963
76	660	7919
77	667	7894
78	674	7865
79	680	7829
80	686	7789
81	691	7746
82	698	7715
83	703	7676
84	709	7637
85	716	7614
86	721	7576
87	727	7540
88	734	7515
89	739	7477
90	745	7446
91	751	7412
92	756	7376
93	762	7353
94	768	7325
95	774	7297
96	781	7276
97	787	7243
98	792	7211
99	799	7195
100	804	7164
101	810	7138
102	820	7143
103	834	7191
104	840	7162
105	846	7142
106	852	7115
107	860	7107
108	866	7086
109	873	7064
110	879	7046
111	885	7021
112	891	6994
113	897	6971
114	902	6947
115	909	6931
116	915	6909
117	921	6884
118	927	6867
119	933	6842
120	940	6830
121	946	6810
122	952	6787
123	958	6774
124	965	6756
125	970	6733
126	978	6723
127	984	6710
128	991	6695
129	997	6673
130	1002	6651
131	1009	6636
132	1014	6614
133	1020	6592
134	1026	6574
135	1031	6553
136	1037	6537
137	1043	6516
138	1055	6539
139	1065	6544
140	1072	6532
141	1078	6518
142	1084	6499
143	1091	6485
144	1096	6466
145	1102	6451
146	1108	6432
147	1114	6414
148	1120	6401
149	1126	6382
150	1131	6362
151	1138	6352
152	1144	6335
153	1151	6323
154	1156	6305
155	1162	6287
156	1169	6279
157	1176	6268
158	1182	6253
159	1188	6239
160	1193	6221
161	1200	6210
162	1206	6194
163	1212	6179
164	1219	6169
165	1224	6153
166	1230	6138
167	1237	6126
168	1242	6110
169	1250	6102
170	1265	6133
171	1274	6136
172	1281	6124
173	1286	6107
174	1292	6091
175	1298	6080
176	1304	6065
177	1310	6052
178	1316	6040
179	1322	6024
180	1328	6012
181	1334	5998
182	1339	5982
183	1346	5970
184	1353	5960
185	1358	5945
186	1366	5939
187	1372	5929
188	1379	5919
189	1385	5904
190	1390	5891
191	1397	5881
192	1402	5866
193	1408	5852
194	1414	5840
195	1420	5826
196	1426	5814
197	1434	5808
198	1446	5821
199	1452	5810
200	1459	5799
201	1464	5785
202	1470	5771
203	1477	5764
204	1484	5755
205	1490	5746
206	1496	5733
207	1502	5720
208	1508	5710
209	1514	5696
210	1519	5682
211	1526	5673
212	1532	5661
213	1538	5648
214	1544	5639
215	1550	5626
216	1556	5617
217	1562	5604
218	1567	5591
219	1575	5585
220	1582	5577
221	1594	5588
222	1604	5591
223	1610	5579
224	1616	5567
225	1622	5558
226	1628	5545
227	1634	5532
228	1641	5524
